url,brand,model,price,image,mileage,fuel_type,gearbox,year
https://www.otomoto.pl/osobowe/oferta/audi-q5-sportback-pneumatyka-matrix-ambiente-b-o-webasto-salon-pl-ID6GvG6P.html,Audi,Audi Q5 Sportback SQ5 TDI mHEV Quattro Tiptronic,274 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IncwaWZ3MDAyNnB1bzEtT1RPTU9UT1BMIn0.qIBsoMhfksHlXkT9p8lKc7dYOdb7K5D-deSTXHiHUKU/image;s=644x461,79 556 km,Diesel,Automatyczna,2021
https://www.otomoto.pl/osobowe/oferta/audi-q7-bezwypadkowy-kupiony-w-salonie-w-polsce-ID6GBCsa.html,Audi,Audi Q7 3.0 TDI Quattro Tiptronic,37 000,"",239 500 km,Diesel,Automatyczna,2006
https://www.otomoto.pl/osobowe/oferta/audi-q5-sportback-pneumatyka-matrix-ambiente-b-o-webasto-salon-pl-ID6GvG6P.html,Audi,Audi Q5 Sportback SQ5 TDI mHEV Quattro Tiptronic,274 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IncwaWZ3MDAyNnB1bzEtT1RPTU9UT1BMIn0.qIBsoMhfksHlXkT9p8lKc7dYOdb7K5D-deSTXHiHUKU/image;s=644x461,79 556 km,Diesel,Automatyczna,2021
https://www.otomoto.pl/osobowe/oferta/audi-a6-2x-s-line-hd-matrix-led-hak-head-up-pakiet-czern-ID6GwZNL.html,Audi,Audi A6,249 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im0xYnJubm1teWVzOTEtT1RPTU9UT1BMIn0.ahaqFP22-9tfzesEMjdCi7bDcBJZ4umqq6bO0SLeZyA/image;s=644x461,16 870 km,Benzyna,Automatyczna,2023
https://www.otomoto.pl/osobowe/oferta/audi-q7-audi-q7-s-line-quattro-45-tdi-ID6GxXJ4.html,Audi,Audi Q7,279 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRyY2RzbDF1ZHZ1MTEtT1RPTU9UT1BMIn0.mWnYcpvbVx9vcUAet6RxVf9V9wxvxS9bpSpaBKUJkYE/image;s=644x461,81 798 km,Diesel,Automatyczna,2021
https://www.otomoto.pl/osobowe/oferta/audi-a4-allroad-245-km-alcantara-kamera-nawigacja-gwarancja-ID6GgAGJ.html,Audi,Audi A4 Allroad,129 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFjM3dxMDF1Z29saTMtT1RPTU9UT1BMIn0.zrqCgfR4GGWHjJLhiqi31yxDawAkmYzqzyCNE62sL8A/image;s=644x461,61 674 km,Benzyna,Automatyczna,2019
https://www.otomoto.pl/osobowe/oferta/audi-e-tron-2-lata-gwarancji-2-lat-pakiet-serwis-oferta-najmu-ponizej-3000-pln-ID6GvqUn.html,Audi,Audi e-tron 50 Quattro S Line,169 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inh6NnluNjlyZ2wxbDEtT1RPTU9UT1BMIn0.mS3phjykoWSdMTnQpCQtQLDhfkbt-cc_9Yuw4ZNVyZg/image;s=644x461,95 487 km,Elektryczny,Automatyczna,2020
https://www.otomoto.pl/osobowe/oferta/audi-q7-s-line-hak-head-up-matrix-webasto-panorama-b-o-ID6Gppql.html,Audi,Audi Q7,369 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InQ5cWc2bmJpc2psZDEtT1RPTU9UT1BMIn0.1_5nvM5bdSihkVLmrqvzEL30nq0F-nbpO3hi34WVRTo/image;s=644x461,24 084 km,Diesel,Automatyczna,2023
https://www.otomoto.pl/osobowe/oferta/audi-a6-190-km-maly-przebieg-skora-xenon-ID6GB2ZA.html,Audi,Audi A6 2.0 TDI ultra,79 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImplZzY1ODdzcGZiMTItT1RPTU9UT1BMIn0.pPAA53tFEsoVRiCiOQ6PbAhJAUzoLY_Z0WRqt8Go8XM/image;s=644x461,114 400 km,Diesel,Manualna,2015
https://www.otomoto.pl/osobowe/oferta/audi-a7-s-line-pakiet-czern-b-o-hd-matrix-ID6GwWde.html,Audi,Audi A7,229 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InQwYWhjZXBhc2Y5cTEtT1RPTU9UT1BMIn0.VmORHFgC2u2DYPN4RuPuXr7tP2wGQBJ2u68Ay2R2_gk/image;s=644x461,93 162 km,Diesel,Automatyczna,2021
https://www.otomoto.pl/osobowe/oferta/audi-a7-audi-a8-reflektory-hd-matrix-bang-olufsen-premium-sound-system-gwaranc-ID6GAjl1.html,Audi,Audi A7,294 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InJrOHZ0cjVwOWc0by1PVE9NT1RPUEwifQ.2-eAULaKiZ597ICdHY6i8PG9ZpkpGBr0nYsfXWNQ4CE/image;s=644x461,12 300 km,Benzyna,Automatyczna,2023
https://www.otomoto.pl/osobowe/oferta/audi-sq8-pakiet-czern-os-skretna-b-o-matrix-ambiente-ID6GAIr9.html,Audi,Audi SQ8 TFSI Quattro Tiptronic,399 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InN5cWhtMHhsbDVxYjMtT1RPTU9UT1BMIn0.ViaoE5-QBaxrt44Gecu7JBk-bGHCBJnRq2pxj_Qhptc/image;s=644x461,63 877 km,Benzyna,Automatyczna,2021
https://www.otomoto.pl/osobowe/oferta/audi-a6-286-km-head-up-matrix-smartphone-interface-ID6GgHdW.html,Audi,Audi A6,169 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRkNGswZTl4N212ODItT1RPTU9UT1BMIn0.zxdIB85sIZhdlSae_yKgECe080GhnOobEUUJ80vjk1I/image;s=644x461,120 015 km,Diesel,Automatyczna,2019
https://www.otomoto.pl/osobowe/oferta/audi-a4-190-km-quattro-skora-virtual-smartphone-interface-side-assist-ID6GAell.html,Audi,Audi A4,99 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFvMnU2ajR1ZHdndjMtT1RPTU9UT1BMIn0.3_SBEaYyUfbzRdRdBLWYW41R4riHZVmnJiKBCNZoySQ/image;s=644x461,147 486 km,Diesel,Automatyczna,2016
https://www.otomoto.pl/osobowe/oferta/audi-a7-audi-a7-265km-bang-olufsen-premium-sound-system-kamery-360-ID6GA8a9.html,Audi,Audi A7,294 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFzMG8zbzVkM3l4dDItT1RPTU9UT1BMIn0.9i3FQeIDHI2SQIo86iiTnfu_xjrNy4U_6Jywbt22Oa0/image;s=644x461,6 001 km,Benzyna,Automatyczna,2023
https://www.otomoto.pl/osobowe/oferta/audi-a5-204-km-cabrio-hak-matrix-ambiente-head-up-ID6Gc2Go.html,Audi,Audi A5,210 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjFnZzQ4NDRneWd6ZDMtT1RPTU9UT1BMIn0.XIVn5pRLB4VrPR7qWE7nuqp8bgk5ZJC0e0tsi_SQxZI/image;s=644x461,16 379 km,Benzyna,Automatyczna,2023
https://www.otomoto.pl/osobowe/oferta/audi-a6-265-km-hak-panorama-ambiente-matrix-pakiet-czern-ID6GgAg0.html,Audi,Audi A6,229 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imk4MmQ5ZTVwenp0ODMtT1RPTU9UT1BMIn0.G95vGbVmC0fiGe7ZrXfp2eFPiKqGnZSC9B9-Rw11tTU/image;s=644x461,24 544 km,Benzyna,Automatyczna,2023
https://www.otomoto.pl/osobowe/oferta/audi-a7-audi-a7-50-tdi-mhev-quattro-tiptronic-adaptacyjne-zawieszenie-pneumaty-ID6GA1kI.html,Audi,Audi A7,239 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InFoazRoNXJ2M2syNTItT1RPTU9UT1BMIn0.PmeQ_Fb_LpFbsxOI1uyzmKi2z7tGy1M2W0ms-BPzVmw/image;s=644x461,81 652 km,Benzyna,Automatyczna,2020
https://www.otomoto.pl/osobowe/oferta/audi-a6-204-km-head-up-hak-ambiente-b-o-asystenci-ID6GuN2t.html,Audi,Audi A6,129 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjVxb3lhZHc2eG4zMzMtT1RPTU9UT1BMIn0.uLX-yswTyEZkQZSAtSMJ1Tnq_g7pi9L3GM7b5tGwYO4/image;s=644x461,165 965 km,Diesel,Automatyczna,2019
https://www.otomoto.pl/osobowe/oferta/audi-q8-lift-55-tfsi-340km-pelna-wersja-wyposazenia-ID6GzUhU.html,Audi,Audi Q8,479 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjdhaTZ1eHdwNHgzeC1PVE9NT1RPUEwifQ.KlmKEPY3RUHz5heLswHg6ZeAcpYwEKapMgRq1HuyIrw/image;s=644x461,13 400 km,Benzyna,Automatyczna,2023
https://www.otomoto.pl/osobowe/oferta/audi-a5-45-tfsi-265km-s-line-hak-webasto-pakiet-zimowy-ID6GzUYs.html,Audi,Audi A5,245 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Img5dnZ1a3dlMDV4Ny1PVE9NT1RPUEwifQ.HAcW4cQcoygqg5dM8NAxKgof-lb5xIji6eDGZmO9cpU/image;s=644x461,11 963 km,Benzyna,Automatyczna,2023
https://www.otomoto.pl/osobowe/oferta/audi-a7-lift-hak-webasto-laser-acc-s-line-ID6GzUyW.html,Audi,Audi A7,289 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ims0cWNva2xtMHN3bTEtT1RPTU9UT1BMIn0.z_wrP1BoLczplIdDlEjCBxobOnw59WEVp0e27CHZSUk/image;s=644x461,12 500 km,Benzyna,Automatyczna,2023
https://www.otomoto.pl/osobowe/oferta/audi-a6-286-km-pneumatyka-masaz-wentylacja-head-up-webasto-domyki-matrix-ID6GgHgP.html,Audi,Audi A6,239 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImVzZTE1c2RhY2Uxby1PVE9NT1RPUEwifQ.Q4-wRKqz8PGjiPTp9vhX_tR9js3O3UAnU7_rJUyWgMw/image;s=644x461,57 755 km,Diesel,Automatyczna,2022
https://www.otomoto.pl/osobowe/oferta/audi-a8-460-km-s-line-digital-matrix-aktywne-zawieszenie-b-o-poduszki-ID6GzUCW.html,Audi,Audi A8,519 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InE0cWczYXo0ejQ2OC1PVE9NT1RPUEwifQ.bnP9CHaale5uQ07FnpnFyzVS2EBQTKScpfUyuVlNm5Q/image;s=644x461,4 432 km,Benzyna,Automatyczna,2023
https://www.otomoto.pl/osobowe/oferta/audi-a1-150-km-s-line-ambiente-led-psakiet-comfort-technology-ID6GATfJ.html,Audi,Audi A1 35 TFSI S Line S tronic,99 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ims4a2YxOWFzY2o4YjMtT1RPTU9UT1BMIn0.fCRL2pxcTAXjrFaQ_P-Gfei9i72YcrYyvBbTX2L3KIY/image;s=644x461,40 969 km,Benzyna,Automatyczna,2021
https://www.otomoto.pl/osobowe/oferta/audi-a6-204-km-matrix-ambiente-virtual-salon-pl-ID6GqsFf.html,Audi,Audi A6,119 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndlNXRjZGR4amxweDEtT1RPTU9UT1BMIn0.VffIv43FV4K2dqt-KXbQ_RF_SWvHbBd4NBfSPieLoro/image;s=644x461,169 711 km,Diesel,Automatyczna,2018
https://www.otomoto.pl/osobowe/oferta/audi-q7-286-km-s-line-hak-panorama-matrix-head-up-ID6GqOwf.html,Audi,Audi Q7,339 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjZ3YzhiYjMyYXFpeDEtT1RPTU9UT1BMIn0._3ai_nQm3xYfcB42g4CzcrA9I7qR9Xj7f8ZqjSI_ELo/image;s=644x461,30 304 km,Diesel,Automatyczna,2023
https://www.otomoto.pl/osobowe/oferta/audi-a3-150-km-sedan-virtual-cockpit-pakiet-s-line-ID6Gvtpi.html,Audi,Audi A3 35 TFSI S tronic,89 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjBuYjBoMW52YW9qcDEtT1RPTU9UT1BMIn0.5CtGZZwhX3RpCD1QsqsS4bYzX4wamqjemQVGPwp7pmA/image;s=644x461,95 431 km,Benzyna,Automatyczna,2019
https://www.otomoto.pl/osobowe/oferta/audi-q5-matrix-hak-pakiet-business-ID6Gojio.html,Audi,Audi Q5,209 999,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InptZm1zenRscDIzay1PVE9NT1RPUEwifQ.RbE-SRV72bPLs4eC8rurjWsoY66nnJJIB4MeYCnUl6I/image;s=644x461,20 350 km,Benzyna,Automatyczna,2023
https://www.otomoto.pl/osobowe/oferta/audi-a4-150-km-led-asystenci-skora-elektryka-foteli-ID6GbGpi.html,Audi,Audi A4,129 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InE5MnZ5bmFkNzM1ci1PVE9NT1RPUEwifQ.l9vLbreD-5mzQE1Skt_etagNJ331tmq8_oHmuR-yEJM/image;s=644x461,50 925 km,Benzyna,Automatyczna,2020
https://www.otomoto.pl/osobowe/oferta/audi-a3-audi-a3-2-0-tdi-2011-lift-skory-zadbany-ID6GATlU.html,Audi,Audi A3 2.0 TDI DPF Ambition,28 800,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InB5aXQ2djA5Y3Q2NTMtT1RPTU9UT1BMIn0.C6pKX_PAyxcaJBWNetqQe6Owf_ArlWKHBFmchQk1-XY/image;s=320x240,291 000 km,Diesel,Manualna,2011
https://www.otomoto.pl/osobowe/oferta/audi-q7-polski-salon-bezwypadkowy-zadbany-ID6FM1cQ.html,Audi,Audi Q7 3.0 TDI Quattro Tiptronic,152 000,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IngzcjdxcXk2d3N2ajItT1RPTU9UT1BMIn0.RZBVm8kvYs1Ocj6ObjVXsu2cAHLutSGwMZy6dS0QOk8/image;s=320x240,155 000 km,Diesel,Automatyczna,2016
https://www.otomoto.pl/osobowe/oferta/audi-a4-2-0-tdi-bixenon-ID6GBCPI.html,Audi,Audi A4 2.0 TDI 116g,43 900,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImdwamlveThtcmFodi1PVE9NT1RPUEwifQ.QTXhafhpzIDsnpDnTLZs9k1VLK7nZ2HkgSuXZUaz84I/image;s=320x240,167 000 km,Diesel,Manualna,2013
